,acc,clf,data,f1,feat_generator,tacc
0,0.5703479576399394,Logistic Regression,4-unbalanced,0.5321306142119363,count_ng1,0.5703479576399395
1,0.5325264750378214,Passive Aggresive,4-unbalanced,0.5177041727643846,count_ng1,0.5325264750378215
2,0.5264750378214825,SVM,4-unbalanced,0.5048340169255515,count_ng1,0.5264750378214826
3,0.5204236006051437,Perceptron,4-unbalanced,0.5021495937214234,count_ng1,0.5204236006051437
4,0.508320726172466,bnb,4-unbalanced,0.35076162905763286,count_ng1,0.5083207261724659
5,0.5763993948562783,mnb,4-unbalanced,0.525483859088794,count_ng1,0.5763993948562783
6,0.5476550680786686,sgd,4-unbalanced,0.532710368268141,count_ng1,0.5476550680786687
7,0.388804841149773,KNN,4-unbalanced,0.3579591552868049,count_ng1,0.3888048411497731
8,0.5718608169440242,Logistic Regression,4-unbalanced,0.5179407208569473,count_ng2,0.5718608169440242
9,0.5506807866868382,Passive Aggresive,4-unbalanced,0.5164426434517073,count_ng2,0.5506807866868382
10,0.5597579425113465,SVM,4-unbalanced,0.5162776536410263,count_ng2,0.5597579425113465
11,0.540090771558245,Perceptron,4-unbalanced,0.5108621984559779,count_ng2,0.540090771558245
12,0.5068078668683812,bnb,4-unbalanced,0.3449215952243956,count_ng2,0.5068078668683812
13,0.573373676248109,mnb,4-unbalanced,0.5188407799822952,count_ng2,0.573373676248109
14,0.5627836611195158,sgd,4-unbalanced,0.5171216253276849,count_ng2,0.5627836611195158
15,0.4114977307110439,KNN,4-unbalanced,0.37322098486934563,count_ng2,0.4114977307110439
16,0.56732223903177,Logistic Regression,4-unbalanced,0.49867270280877557,count_ng3,0.56732223903177
17,0.5537065052950075,Passive Aggresive,4-unbalanced,0.5053908762689295,count_ng3,0.5537065052950075
18,0.5703479576399395,SVM,4-unbalanced,0.5155264769553105,count_ng3,0.5703479576399395
19,0.5385779122541603,Perceptron,4-unbalanced,0.499342301354239,count_ng3,0.5385779122541604
20,0.5052950075642965,bnb,4-unbalanced,0.34160789243783424,count_ng3,0.5052950075642966
21,0.5763993948562783,mnb,4-unbalanced,0.521094922148558,count_ng3,0.5763993948562783
22,0.5748865355521936,sgd,4-unbalanced,0.5272269590822327,count_ng3,0.5748865355521936
23,0.40998487140695905,KNN,4-unbalanced,0.36398842646543983,count_ng3,0.40998487140695916
24,0.56732223903177,Logistic Regression,4-unbalanced,0.4719508370495892,tfidf_ng1,0.56732223903177
25,0.5446293494704992,Passive Aggresive,4-unbalanced,0.5335971660015069,tfidf_ng1,0.5446293494704992
26,0.5642965204236006,SVM,4-unbalanced,0.5380902355375898,tfidf_ng1,0.5642965204236006
27,0.518910741301059,Perceptron,4-unbalanced,0.5022768450275169,tfidf_ng1,0.518910741301059
28,0.5083207261724659,bnb,4-unbalanced,0.3426193861463361,tfidf_ng1,0.5083207261724659
29,0.5219364599092284,mnb,4-unbalanced,0.3747315803927563,tfidf_ng1,0.5219364599092284
30,0.546142208774584,sgd,4-unbalanced,0.5348322542809011,tfidf_ng1,0.546142208774584
31,0.5158850226928895,KNN,4-unbalanced,0.491390266969147,tfidf_ng1,0.5158850226928896
32,0.5476550680786686,Logistic Regression,4-unbalanced,0.43663187173947327,tfidf_ng2,0.5476550680786687
33,0.5703479576399395,Passive Aggresive,4-unbalanced,0.5490364079359936,tfidf_ng2,0.5703479576399395
34,0.5642965204236006,SVM,4-unbalanced,0.5282440053550551,tfidf_ng2,0.5642965204236006
35,0.5219364599092284,Perceptron,4-unbalanced,0.510703380642086,tfidf_ng2,0.5219364599092284
36,0.5083207261724659,bnb,4-unbalanced,0.3426193861463361,tfidf_ng2,0.5083207261724659
37,0.5234493192133132,mnb,4-unbalanced,0.3800491273971296,tfidf_ng2,0.5234493192133132
38,0.5718608169440242,sgd,4-unbalanced,0.5485915862957245,tfidf_ng2,0.5718608169440242
39,0.5098335854765507,KNN,4-unbalanced,0.48323951360882206,tfidf_ng2,0.5098335854765507
40,0.5416036308623298,Logistic Regression,4-unbalanced,0.42442316778787975,tfidf_ng3,0.5416036308623298
41,0.5642965204236006,Passive Aggresive,4-unbalanced,0.5364645039569256,tfidf_ng3,0.5642965204236006
42,0.5597579425113465,SVM,4-unbalanced,0.5167718333620478,tfidf_ng3,0.5597579425113465
43,0.5370650529500757,Perceptron,4-unbalanced,0.5287818537034101,tfidf_ng3,0.5370650529500757
44,0.5083207261724659,bnb,4-unbalanced,0.3426193861463361,tfidf_ng3,0.5083207261724659
45,0.5158850226928896,mnb,4-unbalanced,0.36951304274916735,tfidf_ng3,0.5158850226928896
46,0.5703479576399395,sgd,4-unbalanced,0.5495076846826972,tfidf_ng3,0.5703479576399395
47,0.5113464447806353,KNN,4-unbalanced,0.4830072688568375,tfidf_ng3,0.5113464447806354
48,0.5506807866868381,Logistic Regression,4-unbalanced,0.44523018210981025,hash_ng1,0.5506807866868382
49,0.5431164901664145,Passive Aggresive,4-unbalanced,0.526284539599952,hash_ng1,0.5431164901664145
50,0.5597579425113464,SVM,4-unbalanced,0.5173138454272701,hash_ng1,0.5597579425113465
51,0.5279878971255673,Perceptron,4-unbalanced,0.5162578485359286,hash_ng1,0.5279878971255674
52,0.5083207261724659,bnb,4-unbalanced,0.3426193861463361,hash_ng1,0.5083207261724659
53,0.546142208774584,sgd,4-unbalanced,0.5129027328723668,hash_ng1,0.546142208774584
54,0.47503782148260215,KNN,4-unbalanced,0.4601851479316286,hash_ng1,0.4750378214826021
55,0.5340393343419062,Logistic Regression,4-unbalanced,0.41113398562735914,hash_ng2,0.5340393343419062
